NameString
Biruni
Gan De
Alexander N. Vyssotsky
John Archibald Wheeler
Chandra Wickramasinghe
Charles Augustus Young
Charles Hitchcock Adams
Eugène Michel Antoniadi
Hermann Alexander Brück
Edwin Francis Carpenter
Edwin Foster Coddington
Charles-Eugène Delaunay
Erwin Finlay-Freundlich
Wilhelm Julius Foerster
Louise Freeland Jenkins
Claes-Ingvar Lagerkvist
Johann Heinrich Lambert
Samuel Pierpont Langley
Pierre Louis Maupertuis
August Ferdinand Möbius
William Henry Pickering
Samuel Heinrich Schwabe
Frederick Hanley Seares
John Francis Skjellerup
Mary Fairfax Somerville
Friedrich Georg Wilhelm
Rashid Alievich Sunyaev
Thorvald Nicolai Thiele
Otto Wilhelm von Struve
Friedrich Wilhelm Bessel
Sherburne Wesley Burnham
William Wallace Campbell
Giovanni Battista Donati
Robert George Harrington
Robert Sutton Harrington
William Kenneth Hartmann
Albertus Antonie Nijland
Cecilia Payne-Gaposchkin
Edward Charles Pickering
David Lincoln Rabinowitz
Grigory Abramovich Shajn
Pelageya Fedorovna Shajn
Charlotte Moore Sitterly
Sir Harold Spencer Jones
Charles Bruce Stephenson
Joseph Hooton Taylor Jr.
François Félix Tisserand
Mu’ayyad al-Din al-’Urdi
Johann Heinrich Westphal
Giovanni Domenico Cassini
William Frederick Denning
Nicolas Louis de Lacaille
Philibert Jacques Melotte
Knut Jørgen Røed Ødegaard
Pieter Johannes van Rhijn
Henry Chamberlain Russell
Willebrord Snel van Royen
Pieter Johannes van Rhijn
Sergei Ivanovich Belyavsky
Wilhelm Freiherr von Biela
Subrahmanyan Chandrasekhar
Lyudmila Ivanovna Chernykh
Henri-Alexandre Deslandres
Pierre Jules César Janssen
Joseph Jean Pierre Laurent
Adolph Friedrich Lindemann
Giovanni Battista Riccioli
Johann Hieronymus Schröter
"Karl August von Steinheil,"
Gennady S. Bisnovatyi-Kogan
"Dominique, comte de Cassini"
Jacques Eugène d'Allonville
Robert Thorburn Ayton Innes
"William Parsons, Lord Rosse"
Iosif Samuilovich Shklovsky
Tamara Mikhaylovna Smirnova
Yakov Borisovich Zel'dovich
Friedrich Wilhelm Argelander
Nikolai Stepanovich Chernykh
Cornelis Johannes van Houten
Ingrid van Houten-Groeneveld
Marcel Gilles Jozef Minnaert
Grigoriy Nikolaevich Neujmin
Bengt Georg Daniel Strömgren
Gustav Wilhelm Ludwig Struve
Beatrice Muriel Hill Tinsley
Cornelis Johannes van Houten
Richard van der Riet Woolley
Jean Baptiste Joseph Delambre
Alexander Nikolaevich Deutsch
Gabrielle Renaudot Flammarion
Otto Hermann Leopold Heckmann
Giovanni Antonio Amedeo Plana
Heinrich Christian Schumacher
Richard Christopher Carrington
Jean Abraham Chrétien Oudemans
Henri Joseph Anastase Perrotin
Wallace Leslie William Sargent
Ernst Wilhelm Leberecht Tempel
Lyudmila Vasil'evna Zhuravleva
César-François Cassini de Thury
"Muhammad ibn M_s_ al-Khw_rizm_,"
Vladimir Aleksandrovich Albitzky
Hendrik Christoffel van de Hulst
Christian Sørensen Longomontanus
Andreas Gerasimos Michalitsianos
Heinrich Wilhelm Matthäus Olbers
Carolyn Jean Spellmann Shoemaker
Friederich Wilhelm Gustav Spörer
Hendrik Christoffel van de Hulst
"Viktor Amazaspovich Ambartsumian,"
Friedrich Karl Arnold Schwassmann
Friedrich August Theodor Winnecke
Friedrich Georg Wilhelm von Struve
Ernst Friedrich Wilhelm Klinkerfues
Christian Heinrich Friedrich Peters
Andrew Claude de la Cherois Crommelin
"George Parker, 2nd Earl of Macclesfield"
"George Parker, 2nd Earl of Macclesfield"
Hendricus Gerardus van de Sande Bakhuyzen
Hendricus Gerardus van de Sande Bakhuyzen
Donald Edward Osterbrock
